101571.30	SRR1956449	Burkholderia ubonensis	environmental	soil	
101571.305		Burkholderia ubonensis	environmental	soil	
101571.309		Burkholderia ubonensis	environmental	soil	
101571.310		Burkholderia ubonensis	environmental	soil	
101571.311		Burkholderia ubonensis	environmental	soil	
101571.312		Burkholderia ubonensis	environmental	soil	
101571.313		Burkholderia ubonensis	environmental	soil	
101571.314		Burkholderia ubonensis	environmental	soil	
101571.32	SRR1956091	Burkholderia ubonensis	environmental	water	
101571.321		Burkholderia ubonensis	environmental	soil	
101571.322		Burkholderia ubonensis	environmental	soil	
101571.323		Burkholderia ubonensis	environmental	soil	
101571.324		Burkholderia ubonensis	environmental	soil	
101571.325		Burkholderia ubonensis	environmental	soil	
101571.326		Burkholderia ubonensis	environmental	soil	
101571.327		Burkholderia ubonensis	environmental	soil	
101571.328		Burkholderia ubonensis	environmental	soil	
101571.329		Burkholderia ubonensis	environmental	soil	
101571.33	SRR1956345	Burkholderia ubonensis	environmental	water	
101571.330		Burkholderia ubonensis	environmental	soil	
101571.331		Burkholderia ubonensis	environmental	soil	
101571.332		Burkholderia ubonensis	environmental	soil	
101571.34	SRR1956349	Burkholderia ubonensis	environmental	soil	
101571.35	SRR1956481	Burkholderia ubonensis	environmental	soil	
101571.350		Burkholderia ubonensis	environmental	soil	
101571.36	SRR1956482	Burkholderia ubonensis	environmental	soil	
101571.37	SRR1956483	Burkholderia ubonensis	environmental	soil	
101571.38	SRR1956452	Burkholderia ubonensis	environmental	soil	
101571.39	SRR1956484	Burkholderia ubonensis	environmental	soil	
101571.40	SRR1956350	Burkholderia ubonensis	environmental	soil	
101571.41	SRR1956477	Burkholderia ubonensis	environmental	soil	
101571.42	SRR1956447	Burkholderia ubonensis	environmental	soil	
101571.43	SRR1956478	Burkholderia ubonensis	environmental	soil	
101571.44	SRR1956394	Burkholderia ubonensis	environmental	soil	
101571.45	SRR1956364	Burkholderia ubonensis	environmental	soil	
101571.46	SRR1956441	Burkholderia ubonensis	environmental	soil	
101571.47	SRR1956485	Burkholderia ubonensis	environmental	soil	
101571.48	SRR1956453	Burkholderia ubonensis	environmental	soil	
101571.49	SRR1956487	Burkholderia ubonensis	environmental	soil	
101571.5	SRR1956436	Burkholderia ubonensis	environmental	soil	
101571.50	SRR1956488	Burkholderia ubonensis	environmental	soil	
101571.51	SRR1955995	Burkholderia ubonensis	environmental	soil	
101571.52	SRR1956011	Burkholderia ubonensis	environmental	soil	
101571.53	SRR1956013	Burkholderia ubonensis	environmental	soil	
101571.54	SRR1956017	Burkholderia ubonensis	environmental	soil	
101571.55	SRR1955985	Burkholderia ubonensis	environmental	soil	
101571.56	SRR1955997	Burkholderia ubonensis	environmental	soil	
101571.57	SRR1955992	Burkholderia ubonensis	environmental	soil	
101571.58	SRR1956012	Burkholderia ubonensis	environmental	soil	
101571.59	SRR1955998	Burkholderia ubonensis	environmental	soil	
101571.6	SRR1956360	Burkholderia ubonensis	environmental	soil	
101571.60	SRR1956008	Burkholderia ubonensis	environmental	soil	
101571.61	SRR1956005	Burkholderia ubonensis	environmental	soil	
101571.62	SRR1956007	Burkholderia ubonensis	environmental	soil	
101571.63	SRR1955991	Burkholderia ubonensis	environmental	soil	
101571.64	SRR1956006	Burkholderia ubonensis	environmental	soil	
101571.65	SRR1956021	Burkholderia ubonensis	environmental	soil	
101571.66	SRR1956004	Burkholderia ubonensis	environmental	soil	
101571.67	SRR1956001	Burkholderia ubonensis	environmental	soil	
101571.68	SRR1956003	Burkholderia ubonensis	environmental	soil	
101571.69	SRR1955989	Burkholderia ubonensis	environmental	soil	
101571.7	SRR1956361	Burkholderia ubonensis	environmental	soil	
101571.70	SRR1956002	Burkholderia ubonensis	environmental	soil	
101571.71	SRR1956486	Burkholderia ubonensis	environmental	soil	
101571.72	SRR1956489	Burkholderia ubonensis	environmental	soil	
101571.73	SRR1956490	Burkholderia ubonensis	environmental	soil	
101571.74	SRR1956491	Burkholderia ubonensis	environmental	soil	
101571.75	SRR1956492	Burkholderia ubonensis	environmental	soil	
101571.76	SRR1956493	Burkholderia ubonensis	environmental	soil	
101571.77	SRR1956494	Burkholderia ubonensis	environmental	soil	
101571.78	SRR1956495	Burkholderia ubonensis	environmental	soil	
101571.79	SRR1956454	Burkholderia ubonensis	environmental	soil	
101571.8	SRR1956476	Burkholderia ubonensis	environmental	soil	
101571.80	SRR1956455	Burkholderia ubonensis	environmental	soil	
101571.81	SRR1956456	Burkholderia ubonensis	environmental	soil	
101571.82	SRR1956457	Burkholderia ubonensis	environmental	soil	
101571.83	SRR1955974	Burkholderia ubonensis	environmental	soil	
101571.84	SRR1955976	Burkholderia ubonensis	environmental	soil	
101571.85	SRR1955977	Burkholderia ubonensis	environmental	soil	
101571.86	SRR1955980	Burkholderia ubonensis	environmental	soil	
101571.87	SRR1955981	Burkholderia ubonensis	environmental	soil	
101571.88	SRR1955982	Burkholderia ubonensis	environmental	soil	
101571.89	SRR1955983	Burkholderia ubonensis	environmental	soil	
101571.9	SRR1956355	Burkholderia ubonensis	environmental	soil	
101571.90	SRR1955984	Burkholderia ubonensis	environmental	soil	
101571.91	SRR1956022	Burkholderia ubonensis	environmental	soil	
101571.92	SRR1955987	Burkholderia ubonensis	environmental	soil	
101571.93	SRR1956009	Burkholderia ubonensis	environmental	soil	
101571.94	SRR1956010	Burkholderia ubonensis	environmental	soil	
101571.95	SRR1955993	Burkholderia ubonensis	environmental	soil	
101571.96	SRR1955994	Burkholderia ubonensis	environmental	soil	
101571.97	SRR1955973	Burkholderia ubonensis	environmental	soil	
101571.98	SRR1955979	Burkholderia ubonensis	environmental	water	
101571.99	SRR1956000	Burkholderia ubonensis	environmental	soil	
1029981.3		Salmonella enterica	food production	plant product	peanut butter	
1030002.3	SRR955117	Salmonella enterica	environmental	
1030003.3	SRR519466,SRR519467	Salmonella enterica	environmental	
1030004.3	SRR955116	Salmonella enterica	environmental	
1030005.3	SRR652939	Salmonella enterica	food production	meat product	turkey	
1030006.3	SRR652934	Salmonella enterica	food production	meat product	chicken	
1030007.3		Salmonella enterica	environmental	
1037258.3	SRR955118	Salmonella enterica	environmental	
1037259.3	SRR955119	Salmonella enterica	environmental	
1037261.3	SRR955113	Salmonella enterica	environmental	
1053167.3		Bacillus cereus	environmental	soil	
1053168.3		Bacillus cereus	environmental	soil	
1053169.3		Bacillus cereus	environmental	soil	
1053170.3		Bacillus cereus	environmental	soil	
1053171.3		Bacillus cereus	environmental	soil	
1053172.3		Bacillus cereus	environmental	soil	
1053173.3		Bacillus cereus	environmental	soil	
1053174.3		Bacillus cereus	environmental	soil	
1053175.3		Bacillus cereus	environmental	soil	
1053176.3		Bacillus cereus	environmental	soil	
1053177.3		Bacillus cereus	environmental	soil	
1053178.3		Bacillus cereus	environmental	soil	
1053179.3		Bacillus cereus	environmental	soil	
1053180.3		Bacillus cereus	environmental	soil	
1053181.3		Bacillus cereus	environmental	soil	
1053182.3		Bacillus cereus	environmental	soil	
1053183.3		Bacillus cereus	environmental	soil	
1053184.3		Bacillus cereus	environmental	soil	
1053185.3		Bacillus cereus	environmental	soil	
1053186.3		Bacillus cereus	environmental	soil	
1053187.3		Bacillus cereus	environmental	soil	
1053188.3		Bacillus cereus	environmental	soil	
1053189.3		Bacillus cereus	environmental	soil	
1053190.3		Bacillus cereus	environmental	soil	
1053191.3		Bacillus cereus	environmental	soil	
1053194.3		Bacillus cereus	environmental	soil	
1053195.3		Bacillus cereus	environmental	soil	
1053196.3		Bacillus cereus	environmental	soil	
1053200.3		Bacillus cereus	environmental	soil	
1053201.3		Bacillus cereus	environmental	soil	
1053202.3		Bacillus cereus	environmental	soil	
1053203.3		Bacillus cereus	environmental	soil	
1053204.3		Bacillus cereus	environmental	soil	
1053205.3		Bacillus cereus	environmental	soil	
1053206.3		Bacillus cereus	environmental	soil	
1053207.3		Bacillus cereus	environmental	soil	
1053208.3		Bacillus cereus	environmental	soil	
1053209.3		Bacillus cereus	environmental	soil	
1053210.3		Bacillus cereus	environmental	soil	
1053211.3		Bacillus cereus	environmental	soil	
1053212.3		Bacillus cereus	environmental	soil	
1053217.3		Bacillus cereus	food production	
1053218.3		Bacillus cereus	environmental	soil	
1053219.3		Bacillus cereus	environmental	soil	
1053220.3		Bacillus cereus	environmental	
1053222.3		Bacillus cereus	environmental	
1053223.3		Bacillus cereus	environmental	soil	
1053225.3		Bacillus cereus	environmental	soil	
1053226.3		Bacillus cereus	environmental	soil	
1053227.3		Bacillus cereus	environmental	soil	
1053228.3		Bacillus cereus	environmental	soil	
1053229.3		Bacillus cereus	environmental	soil	
1053230.3		Bacillus cereus	environmental	soil	
1053231.3		Bacillus cereus	environmental	soil	
1053232.3		Bacillus cereus	environmental	soil	
1053233.3		Bacillus cereus	environmental	soil	
1053234.3		Bacillus cereus	environmental	soil	
1053235.3		Bacillus cereus	environmental	soil	
1053236.3		Bacillus cereus	environmental	soil	
